"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 08- 24","4,435.47","4,389.17","4,453.73","4,382.71","68.73M","0.32%"
"2016- 08- 23","4,421.45","4,406.34","4,436.15","4,404.00","70.08M","0.72%"
"2016- 08- 22","4,389.94","4,397.39","4,443.07","4,377.70","67.70M","-0.24%"
"2016- 08- 19","4,400.52","4,436.09","4,436.87","4,373.75","76.55M","-0.82%"
"2016- 08- 18","4,437.06","4,441.20","4,447.25","4,413.06","64.60M","0.44%"
"2016- 08- 17","4,417.68","4,475.13","4,478.58","4,415.33","68.52M","-0.96%"
"2016- 08- 16","4,460.44","4,476.07","4,499.59","4,457.25","77.91M","-0.83%"
"2016- 08- 15","4,497.86","4,503.65","4,528.00","4,494.49","44.74M","-0.05%"
"2016- 08- 12","4,500.19","4,501.06","4,510.06","4,490.45","64.40M","-0.08%"
"2016- 08- 11","4,503.95","4,471.30","4,503.95","4,446.46","70.74M","1.17%"
"2016- 08- 10","4,452.01","4,443.38","4,465.89","4,440.56","70.25M","-0.36%"
"2016- 08- 09","4,468.07","4,412.86","4,468.34","4,410.72","79.45M","1.19%"
"2016- 08- 08","4,415.46","4,419.02","4,441.16","4,407.32","72.17M","0.11%"
"2016- 08- 05","4,410.55","4,362.94","4,416.66","4,361.58","93.76M","1.49%"
"2016- 08- 04","4,345.63","4,344.18","4,359.79","4,324.81","87.72M","0.57%"
"2016- 08- 03","4,321.08","4,346.31","4,347.94","4,293.34","104.93M","-0.16%"
"2016- 08- 02","4,327.99","4,395.86","4,398.20","4,320.89","108.91M","-1.84%"
"2016- 08- 01","4,409.17","4,469.99","4,477.44","4,395.33","89.38M","-0.69%"
"2016- 07- 29","4,439.81","4,429.49","4,439.81","4,408.38","128.78M","0.44%"
"2016- 07- 28","4,420.58","4,447.21","4,474.67","4,420.58","107.12M","-0.59%"
"2016- 07- 27","4,446.96","4,424.60","4,469.90","4,424.60","112.48M","1.19%"
"2016- 07- 26","4,394.77","4,385.32","4,405.66","4,353.62","90.86M","0.15%"
"2016- 07- 25","4,388.00","4,381.63","4,419.77","4,368.06","80.24M","0.16%"
"2016- 07- 22","4,381.10","4,365.38","4,398.27","4,345.23","73.82M","0.11%"
"2016- 07- 21","4,376.25","4,382.16","4,389.90","4,340.94","91.94M","-0.08%"
"2016- 07- 20","4,379.76","4,354.57","4,391.57","4,333.36","87.21M","1.15%"
"2016- 07- 19","4,330.13","4,345.40","4,357.34","4,304.20","87.35M","-0.63%"
"2016- 07- 18","4,357.74","4,375.09","4,408.13","4,334.36","72.56M","-0.34%"
"2016- 07- 15","4,372.51","4,367.43","4,383.69","4,342.77","88.33M","-0.30%"
"2016- 07- 14","4,385.52","4,375.67","4,402.23","4,345.44","96.17M","1.16%"
"2016- 07- 13","4,335.26","4,329.53","4,358.67","4,321.90","119.98M","0.09%"
"2016- 07- 12","4,331.38","4,272.45","4,342.67","4,270.99","133.05M","1.57%"
"2016- 07- 11","4,264.53","4,221.22","4,271.71","4,207.37","96.27M","1.76%"
"2016- 07- 08","4,190.68","4,106.65","4,210.34","4,102.68","115.70M","1.77%"
"2016- 07- 07","4,117.85","4,115.50","4,167.88","4,110.24","102.59M","0.80%"
"2016- 07- 06","4,085.30","4,127.20","4,153.41","4,062.07","143.07M","-1.88%"
"2016- 07- 05","4,163.42","4,203.97","4,216.06","4,148.79","115.39M","-1.69%"
"2016- 07- 04","4,234.86","4,288.50","4,288.66","4,233.00","74.90M","-0.91%"
"2016- 07- 01","4,273.96","4,261.09","4,288.72","4,218.10","119.66M","0.86%"
"2016- 06- 30","4,237.48","4,182.11","4,249.53","4,155.45","150.82M","1.00%"
"2016- 06- 29","4,195.32","4,139.37","4,206.35","4,128.08","147.16M","2.60%"
"2016- 06- 28","4,088.85","4,074.36","4,119.08","4,059.90","184.85M","2.61%"
"2016- 06- 27","3,984.72","4,073.72","4,115.47","3,955.98","246.40M","-2.97%"
"2016- 06- 24","4,106.73","4,114.58","4,198.90","4,007.97","428.63M","-8.04%"
"2016- 06- 23","4,465.90","4,404.68","4,490.55","4,392.52","128.38M","1.96%"
"2016- 06- 22","4,380.03","4,398.40","4,416.98","4,372.35","94.92M","0.29%"
"2016- 06- 21","4,367.24","4,335.89","4,382.91","4,321.46","103.01M","0.61%"
"2016- 06- 20","4,340.76","4,301.19","4,351.21","4,292.92","118.07M","3.50%"
"2016- 06- 17","4,193.83","4,179.44","4,218.53","4,170.17","202.73M","0.98%"
"2016- 06- 16","4,153.01","4,116.50","4,162.37","4,109.82","121.16M","-0.45%"
"2016- 06- 15","4,171.58","4,172.73","4,204.01","4,162.02","126.38M","1.00%"
"2016- 06- 14","4,130.33","4,175.21","4,199.54","4,127.87","140.33M","-2.29%"
"2016- 06- 13","4,227.02","4,253.98","4,275.97","4,227.02","119.47M","-1.85%"
"2016- 06- 10","4,306.72","4,390.81","4,390.81","4,301.10","123.15M","-2.24%"
"2016- 06- 09","4,405.61","4,437.02","4,438.38","4,394.52","98.32M","-0.97%"
"2016- 06- 08","4,448.73","4,461.28","4,473.29","4,435.35","96.42M","-0.61%"
"2016- 06- 07","4,475.86","4,443.41","4,486.47","4,441.21","99.29M","1.19%"
"2016- 06- 06","4,423.38","4,407.01","4,435.63","4,407.01","73.06M","0.04%"
"2016- 06- 03","4,421.78","4,477.83","4,492.20","4,396.63","115.10M","-0.99%"
"2016- 06- 02","4,466.00","4,468.84","4,486.56","4,447.62","96.51M","-0.21%"
"2016- 06- 01","4,475.39","4,502.84","4,507.22","4,458.30","95.27M","-0.67%"
"2016- 05- 31","4,505.62","4,532.32","4,536.63","4,496.86","122.22M","-0.53%"
"2016- 05- 30","4,529.40","4,507.09","4,531.18","4,503.52","41.23M","0.32%"
"2016- 05- 27","4,514.74","4,498.43","4,518.22","4,493.06","87.93M","0.05%"
"2016- 05- 26","4,512.64","4,478.17","4,513.77","4,477.02","107.10M","0.69%"
"2016- 05- 25","4,481.64","4,457.85","4,490.17","4,445.79","111.01M","1.13%"
"2016- 05- 24","4,431.52","4,309.30","4,440.65","4,300.42","107.37M","2.46%"
"2016- 05- 23","4,325.10","4,344.89","4,357.08","4,300.18","81.25M","-0.66%"
