"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 01","187.16","186.44","187.55","185.95","","0.49%"
"2024- 03- 29","186.24","186.90","186.91","186.03","","-0.25%"
"2024- 03- 28","186.71","186.87","187.26","185.85","","-0.03%"
"2024- 03- 27","186.76","186.21","187.26","185.75","","0.40%"
"2024- 03- 26","186.02","185.77","186.36","185.02","","0.20%"
"2024- 03- 25","185.64","185.92","186.44","184.99","","-0.10%"
"2024- 03- 22","185.82","185.49","186.43","184.70","","0.28%"
"2024- 03- 21","185.30","184.84","185.65","183.62","","0.37%"
"2024- 03- 20","184.62","185.78","186.43","184.79","","-0.60%"
"2024- 03- 19","185.74","185.74","186.37","185.60","","0.06%"
"2024- 03- 18","185.62","184.98","185.90","184.84","","0.39%"
"2024- 03- 15","184.90","184.15","185.30","183.84","","0.52%"
"2024- 03- 14","183.95","182.85","184.29","182.51","","0.63%"
"2024- 03- 13","182.79","182.73","183.45","182.34","","0.09%"
"2024- 03- 12","182.63","182.60","183.17","182.21","","0.10%"
"2024- 03- 11","182.45","183.27","183.53","181.90","","-0.37%"
"2024- 03- 08","183.12","184.10","184.52","182.47","","-0.45%"
"2024- 03- 07","183.94","184.79","185.18","184.00","","-0.37%"
"2024- 03- 06","184.62","185.72","185.85","184.66","","-0.50%"
"2024- 03- 05","185.55","185.04","185.88","184.80","","0.37%"
"2024- 03- 04","184.87","184.96","185.21","184.52","","0.01%"
"2024- 03- 01","184.86","185.82","186.00","184.99","","-0.43%"
"2024- 02- 29","185.65","185.60","186.01","184.99","","0.17%"
"2024- 02- 28","185.33","185.10","185.88","184.85","","0.15%"
"2024- 02- 27","185.06","185.12","185.30","184.72","","0.01%"
"2024- 02- 26","185.04","184.84","185.27","184.52","","0.13%"
"2024- 02- 23","184.80","184.51","185.36","184.41","","0.18%"
"2024- 02- 22","184.47","185.45","185.68","184.21","","-0.50%"
"2024- 02- 21","185.39","185.50","186.04","185.29","","-0.02%"
"2024- 02- 20","185.42","185.45","186.09","185.16","","0.08%"
"2024- 02- 19","185.27","185.29","185.71","184.98","","0.12%"
"2024- 02- 16","185.05","184.82","185.91","184.68","","0.21%"
"2024- 02- 15","184.67","185.18","185.62","184.67","","-0.10%"
"2024- 02- 14","184.86","186.45","186.50","184.88","","-0.80%"
"2024- 02- 13","186.36","184.79","186.83","184.43","","0.91%"
"2024- 02- 12","184.68","185.11","185.29","184.60","","-0.11%"
"2024- 02- 09","184.88","185.16","185.46","184.82","","-0.05%"
"2024- 02- 08","184.98","184.66","185.36","184.16","","0.21%"
"2024- 02- 07","184.59","184.57","184.93","183.88","","0.05%"
"2024- 02- 06","184.50","185.31","185.46","184.26","","-0.37%"
"2024- 02- 05","185.19","185.96","186.24","184.85","","-0.42%"
"2024- 02- 02","185.98","185.20","186.25","183.90","","0.49%"
"2024- 02- 01","185.08","186.18","186.38","185.07","","-0.52%"
"2024- 01- 31","186.04","185.49","186.52","185.12","","0.50%"
"2024- 01- 30","185.11","185.72","185.82","184.85","","-0.27%"
"2024- 01- 29","185.61","186.41","186.59","185.43","","-0.33%"
"2024- 01- 26","186.22","186.52","186.86","185.70","","-0.08%"
"2024- 01- 25","186.36","186.42","187.01","186.16","","0.09%"
"2024- 01- 24","186.19","186.68","187.02","185.75","","-0.14%"
"2024- 01- 23","186.45","186.23","187.07","185.53","","0.17%"
"2024- 01- 22","186.14","185.41","186.50","184.96","","0.40%"
"2024- 01- 19","185.39","186.17","186.21","185.25","","-0.32%"
"2024- 01- 18","185.98","186.96","187.18","185.66","","-0.41%"
"2024- 01- 17","186.75","186.21","187.69","185.90","","0.37%"
"2024- 01- 16","186.06","184.15","186.44","184.09","","1.11%"
"2024- 01- 15","184.02","183.32","184.51","183.26","","0.46%"
"2024- 01- 12","183.18","183.38","183.85","182.48","","-0.04%"
"2024- 01- 11","183.25","183.98","184.54","183.24","","-0.35%"
"2024- 01- 10","183.90","184.21","184.48","183.65","","-0.13%"
"2024- 01- 09","184.14","183.40","184.44","182.85","","0.44%"
"2024- 01- 08","183.34","184.16","184.55","183.34","","-0.35%"
"2024- 01- 05","183.98","183.60","184.90","182.90","","0.32%"
"2024- 01- 04","183.39","183.26","183.79","182.57","","0.15%"
"2024- 01- 03","183.12","183.50","183.77","182.65","","-0.21%"
"2024- 01- 02","183.51","182.16","184.07","181.82","","0.75%"
"2024- 01- 01","182.14","182.37","182.37","182.34","","-0.07%"
"2023- 12- 29","182.26","181.44","183.12","180.62","","0.51%"
"2023- 12- 28","181.34","181.33","181.55","180.45","","0.17%"
"2023- 12- 27","181.03","181.28","181.45","180.74","","-0.06%"
"2023- 12- 26","181.14","181.65","182.18","180.79","","-0.20%"
"2023- 12- 25","181.51","181.99","182.13","181.62","","-0.17%"
"2023- 12- 22","181.81","181.67","182.70","181.55","","0.25%"
"2023- 12- 21","181.35","182.63","182.93","181.52","","-0.67%"
"2023- 12- 20","182.58","182.46","182.93","181.81","","0.13%"
"2023- 12- 19","182.34","182.78","183.42","182.18","","-0.15%"
"2023- 12- 18","182.62","182.92","183.04","181.85","","-0.03%"
"2023- 12- 15","182.67","181.43","183.37","181.15","","0.81%"
"2023- 12- 14","181.21","182.12","182.16","180.10","","-1.30%"
"2023- 12- 13","183.60","182.88","183.99","182.73","","0.53%"
"2023- 12- 12","182.64","183.49","183.83","182.36","","-0.42%"
"2023- 12- 11","183.41","183.66","184.16","183.15","","-0.14%"
"2023- 12- 08","183.66","183.75","184.26","182.29","","-0.04%"
"2023- 12- 07","183.74","183.73","185.46","183.42","","-0.04%"
"2023- 12- 06","183.82","183.80","184.12","183.21","","0.08%"
"2023- 12- 05","183.67","183.49","184.57","183.10","","0.17%"
"2023- 12- 04","183.35","181.23","183.86","181.20","","1.23%"
"2023- 12- 01","181.12","182.29","183.29","181.23","","-0.52%"
"2023- 11- 30","182.07","180.99","182.43","180.60","","0.57%"
"2023- 11- 29","181.04","180.26","181.53","179.81","","0.53%"
"2023- 11- 28","180.08","181.52","181.59","179.88","","-0.68%"
"2023- 11- 27","181.31","182.10","182.98","181.43","","-0.50%"
"2023- 11- 24","182.22","182.07","182.97","181.43","","0.19%"
